,Unnamed: 0,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
0,0,Toyota,2007.0,Nigerian Used,166418.0,2400.0,Petrol,Automatic,"3,120,000",SUV
1,1,Lexus,2007.898534697263,Nigerian Used,138024.0,3274.9765625,Petrol,Automatic,"5,834,000",SUV
2,2,Mercedes-Benz,2008.0,Nigerian Used,376807.0,3000.0,Petrol,Automatic,"3,640,000",SUV
3,3,Lexus,2007.898534697263,Nigerian Used,213362.0,3274.9765625,Petrol,Automatic,"3,594,000",SUV
4,4,Mercedes-Benz,2007.898534697263,Nigerian Used,106199.0,3274.9765625,Petrol,Automatic,"8,410,000",SUV
5,5,Mercedes-Benz,2007.898534697263,Nigerian Used,87660.0,3274.9765625,Petrol,Automatic,"5,554,000",SUV
6,6,Lexus,2007.898534697263,Nigerian Used,191411.0,3274.9765625,Petrol,Automatic,"3,706,000",SUV
7,7,Lexus,2007.898534697263,Nigerian Used,59092.0,3274.9765625,Petrol,Automatic,"8,410,000",SUV
8,8,Mercedes-Benz,2007.898534697263,Nigerian Used,89423.0,3274.9765625,Petrol,Automatic,"6,506,000",SUV
9,9,Lexus,2007.898534697263,Nigerian Used,184827.0,3274.9765625,Petrol,Automatic,"4,000,000",SUV
10,10,Lexus,2007.898534697263,Nigerian Used,42433.0,3274.9765625,Petrol,Automatic,"8,970,000",SUV
11,11,Lexus,2007.898534697263,Nigerian Used,116138.0,3274.9765625,Petrol,Automatic,"3,034,000",SUV
12,12,Lexus,2007.898534697263,Nigerian Used,167583.0,3274.9765625,Petrol,Automatic,"3,818,000",SUV
13,13,Lexus,2007.898534697263,Nigerian Used,240934.0,3274.9765625,Petrol,Automatic,"3,930,000",SUV
14,14,Fiat,2007.898534697263,Nigerian Used,114.0,3274.9765625,Petrol,Automatic,"8,500,000",SUV
15,15,Fiat,2007.898534697263,Nigerian Used,54.0,3274.9765625,Petrol,Manual,"12,500,000",SUV
16,16,Lexus,2007.898534697263,Nigerian Used,79740.0,3274.9765625,Petrol,Automatic,"5,274,000",SUV
17,17,Mercedes-Benz,2007.898534697263,Nigerian Used,338145.0,3274.9765625,Petrol,Automatic,"8,060,000",SUV
18,18,Lexus,2007.898534697263,Nigerian Used,174545.0,3274.9765625,Petrol,Automatic,"6,506,000",SUV
19,19,Land Rover,2007.898534697263,Nigerian Used,63296.0,3274.9765625,Petrol,Automatic,"6,910,000",SUV
20,20,Mercedes-Benz,2007.898534697263,Nigerian Used,93469.0,3274.9765625,Petrol,Automatic,"6,910,000",SUV
21,21,Mercedes-Benz,2007.898534697263,Nigerian Used,63085.0,3274.9765625,Petrol,Automatic,"15,690,000",SUV
22,22,Mercedes-Benz,2007.898534697263,Nigerian Used,131405.0,3274.9765625,Petrol,Automatic,"5,610,000",SUV
23,23,Toyota,2007.898534697263,Nigerian Used,162853.0,3274.9765625,Petrol,Manual,"3,395,000",SUV
24,24,Lexus,2007.898534697263,Nigerian Used,169675.0,3274.9765625,Petrol,Automatic,"3,146,000",SUV
25,25,Lexus,2007.898534697263,Nigerian Used,147574.0,3274.9765625,Petrol,Automatic,"3,620,000",SUV
26,26,Lexus,2007.898534697263,Nigerian Used,70445.0,3274.9765625,Petrol,Automatic,"5,500,000",SUV
27,27,Foton,2007.898534697263,Nigerian Used,54470.0,3274.9765625,Petrol,Manual,"4,938,000",SUV
28,28,Lexus,2007.898534697263,Nigerian Used,130165.0,3274.9765625,Petrol,Automatic,"3,818,000",SUV
29,29,Lexus,2007.898534697263,Nigerian Used,75478.0,3274.9765625,Petrol,Automatic,"3,497,500",SUV
30,30,Lexus,2008.0,Foreign Used,301265.0,3500.0,Petrol,Automatic,"4,680,000",SUV
31,31,Mercedes-Benz,2007.898534697263,Nigerian Used,145317.0,3274.9765625,Petrol,Automatic,"10,650,000",SUV
32,32,Lexus,2011.0,Nigerian Used,105546.0,4600.0,Petrol,Automatic,"14,040,000",SUV
33,33,Lexus,2007.898534697263,Nigerian Used,60730.0,3274.9765625,Petrol,Automatic,"3,706,000",SUV
34,34,Lexus,2007.898534697263,Nigerian Used,98594.0,3274.9765625,Petrol,Automatic,"10,650,000",SUV
35,35,Mercedes-Benz,2007.898534697263,Nigerian Used,188429.0,3274.9765625,Petrol,Automatic,"6,170,000",SUV
36,36,Mercedes-Benz,2007.898534697263,Nigerian Used,128877.0,3274.9765625,Petrol,Automatic,"16,332,500",SUV
37,37,JAC,2007.898534697263,Nigerian Used,9972.0,3274.9765625,Petrol,Automatic,"6,730,000",SUV
38,38,Lexus,2007.898534697263,Nigerian Used,98226.0,3274.9765625,Petrol,Automatic,"4,378,000",SUV
39,39,Lexus,2007.898534697263,Nigerian Used,211824.0,3274.9765625,Petrol,Automatic,"3,610,000",SUV
40,40,JAC,2007.898534697263,Nigerian Used,35403.0,3274.9765625,Petrol,Automatic,"7,850,000",SUV
41,41,Lexus,2007.898534697263,Nigerian Used,72429.0,3274.9765625,Petrol,Automatic,"3,818,000",SUV
42,42,Land Rover,2007.898534697263,Nigerian Used,82891.0,3274.9765625,Petrol,Automatic,"5,386,000",SUV
43,43,Lexus,2011.0,Foreign Used,211917.0,3500.0,Petrol,Automatic,"6,968,000",SUV
